objectid,inv_id,invlocid,inc_site,inv_typ,inv_stat,datclosed,contamin,loc_descr,ca_typ,remmeth,excav_dpth,excav_vol,merla,contingncy,oldlocid,contact_nm,contact_ph,co_code,coordtyp,X,Y
1,   PLK101000980,181101000491,WALMART,E,C,2009-08-14T00:00:00Z,U,Vadnais Heights,U,U,NA,NA,N,N,NA,MDA Data Practices Records Mng,(651) 201-6698,123,PHOTO,-93.064474803,45.04842922200004
2,   PLK101000931,181101000490,CENTRAL LAKES COOP,E,C,2009-07-21T00:00:00Z,U,Willmar,U,U,NA,NA,N,N,NA,MDA Data Practices Records Mng,(651) 201-6698,067,PHOTO,-95.02257893199999,45.11783079600002
3,   PLK101027130,181101000826,KOCH NITROGEN,E,C,2017-03-08T00:00:00Z,AA,Vernon Center Twp,U,U,NA,NA,N,N,NA,MDA Data Practices Records Mng,(651) 201-6698,013,PHOTO,-94.17328172199996,44.01332562900001
4,   PLK101035384,181101001301,CHS,E,C,2011-01-25T00:00:00Z,U,Tracy,U,U,NA,NA,N,N,NA,MDA Data Practices Records Mng,(651) 201-6698,083,PHOTO,-95.63120632199997,44.23626692900001
5,       CF-11601,17817,UNITED FARMERS COOP - ST PETER,E,C,2008-01-23T00:00:00Z,AA,Lake Prairie Twp.,NC,N,0,0,N,N,0000017817,MDA Data Practices Records Mng,(651) 201-6698,103,PHOTO,-93.99672039799998,44.429805361000035
6,      PLK219234,1811138110,CP RAIL,E,C,2009-03-13T00:00:00Z,NA,Rockford Twp.,U,U,NA,NA,N,N,1811138110,MDA Data Practices Records Mng,(651) 201-6698,171,PHOTO,-93.793022801,45.105055099000026
7,   PLK101027306,181101000839,CNR,E,C,2010-04-07T00:00:00Z,U,Rosemount,U,U,NA,NA,N,N,NA,MDA Data Practices Records Mng,(651) 201-6698,037,PHOTO,-93.025699857,44.75942091500002
8,   PLK101072450,181101010849,LEHMAN,E,C,2017-06-30T00:00:00Z,AA,Rutland Twp, , ,NA,NA,N,N,NA,MDA Data Practices Records Mng,(651) 201-6698,091,PHOTO,-94.47616929899999,43.72065467700003
9,        91-0047,313, CARGILL INC,E,C,1994-02-07T00:00:00Z,F,AB- Maynard,EX,U,NA,NA,N,N,0000000313,MDA Data Practices Records Mng,(651) 201-6698,023,PHOTO,-95.466251409,44.90748244300005
10,   PLK101068016,181101010267,CHANDLER COOP,E,C,2016-05-05T00:00:00Z,F,Rock Lake Twp, , ,NA,NA,N,N,NA,MDA Data Practices Records Mng,(651) 201-6698,083,PHOTO,-95.95371401599999,44.254506413
