objectid,inv_id,invlocid,inc_site,inv_typ,inv_stat,datclosed,contamin,loc_descr,ca_typ,remmeth,excav_dpth,excav_vol,merla,contingncy,oldlocid,contact_nm,contact_ph,co_code,coordtyp,X,Y
1,   PLK101000840,181101000270,SCHMIDT,E,C,2009-07-01T00:00:00Z,U,Emmet Twp.,U,U,NA,NA,N,N,NA,MDA Data Practices Records Mng,(651) 201-6698,129,PHOTO,-95.20858391399997,44.745429688
2,        CF-8498,14889,MEADOWLAND FARMERS COOP,E,C,2004-05-07T00:00:00Z,AA,Palmyra Twp.,U,U,NA,0,N,N,0000014889,MDA Data Practices Records Mng,(651) 201-6698,129,P2,-94.76981734999998,44.675112324000054
3,        CF-8949,15302,AGRILIANCE,E,C,2004-12-21T00:00:00Z,PF,Martinsburg Twp. EDGE OF FIELD,EX,LA,0.5,5,N,N,0000015302,MDA Data Practices Records Mng,(651) 201-6698,129,PHOTO,-94.701052285,44.71065679900005
4,        CF-9428,15801,SKYWAY AGRI SERVICE,E,C,2005-03-17T00:00:00Z,F,Hawk Creek Twp.,P,N,0,0,N,N,0000015801,MDA Data Practices Records Mng,(651) 201-6698,129,PHOTO,-95.42119367499998,44.799641689000055
5,      PLK219128,1811138076,SOUTH CENTRAL GRAIN AND ENERGY,E,C,2009-03-12T00:00:00Z,U,Wellington Twp.,U,U,NA,NA,N,N,1811138076,MDA Data Practices Records Mng,(651) 201-6698,129,PHOTO,-94.67917560199999,44.58571083000004
6,      PLK219052,1811138046,SKYWAY AGRI,E,C,2008-10-27T00:00:00Z,U,Hawk Creek Twp.,U,U,NA,NA,N,N,1811138046,MDA Data Practices Records Mng,(651) 201-6698,129,PHOTO,-95.42130059799996,44.799618291
7,      RAM191051,181101000177,JFS INC,E,C,2009-04-20T00:00:00Z,U,Wang Twp.,U,U,NA,NA,N,N,181101000177,MDA Data Practices Records Mng,(651) 201-6698,129,PHOTO,-95.480657049,44.847915715000056
8,   PLK101000551,181101000235,"NORTHSTAR, INC",E,C,2009-04-02T00:00:00Z,U,Buffalo Lake,U,U,NA,NA,N,N,NA,MDA Data Practices Records Mng,(651) 201-6698,129,PHOTO,-94.59856671699998,44.732265262000055
9,   PLK101000948,181101000297,CWJ FARMS,E,C,2009-12-31T00:00:00Z,U,Crooks Twp.,U,U,NA,NA,N,N,NA,MDA Data Practices Records Mng,(651) 201-6698,129,PHOTO,-95.17852201799997,44.832787612000004
10,   PLK101019081,181101000691,HARVEST LAND COOP,E,C,2010-06-03T00:00:00Z,U,Morton,U,U,NA,NA,N,N,NA,MDA Data Practices Records Mng,(651) 201-6698,129,PHOTO,-94.97612931699996,44.55739792100002
