objectid,objectid_1,erts_number,county,city,address1,address2,location,latitude,longitude,medium,incident_category,source_type,source,oil_type,quantity_total,quantitytowater,quantity_recovered,activity,cause_type,cause,regulated,impact,date_incident,casename,reportid,X,Y
1,0,667209,Yakima,Union Gap,,,Yakima River off I-82/97 Ramp,46.53997,-120.46848,Stream/River,Vehicular Accident-Oil Spill,Vehicle,NON-COMMERCIAL VEHICLE,GASOLINE,20,20,0,UNDERWAY OR IN MOTION,HUMAN ERROR,JUDGMENT,N,WATER POLLUTION,2016-08-25T00:00:00Z,Passenger car to Yakima River at Union Gap,172816,-120.46847991719889,46.53997005139968
2,0,669181,Yakima,Yakima,1010 East A St,,,46.6065,-120.4921,Fresh water,Oil Spill,Facility,POWER GENERATION UTILITY,MINERAL OIL/TRANSFORMER OIL,35,35,35,STATIC OR PERFORMING DESIGNED FUNCTION,HUMAN ERROR,INATTENTION/DISTRACTION,N,WATER POLLUTION,2016-11-27T00:00:00Z,Guest House Inn Yakima transformer,175073,-120.49209991716904,46.606500051264334
3,0,675261,Yakima,Yakima,1023 S 3rd Ave,,Nob Hill Conoco,46.58549,-120.50908,Storm Drain,Oil Spill,Facility,RETAIL PETROLEUM OUTLET,GASOLINE,3,3,0,FUELING (NON-VESSEL),EQUIPMENT/MATERIAL FAILURE,MECHANICAL FAILURE,N,CONTAMINATED ROADWAY/PARKING LOT,2017-08-20T00:00:00Z,Yakima Nob Hill Gasoline Spill,182353,-120.50907991743978,46.585490051110824
4,0,699809,Yakima,Yakima,1711 E Nob Hill Blvd,,Circle K,46.58544,-120.47807,Storm Drain,Oil Spill,Vehicle,COMMERCIAL TRUCK,DIESEL LOW SULPHUR (ULSD),10,10,0,STATIC OR PERFORMING DESIGNED FUNCTION,UNKNOWN,UNKNOWN,N,CONTAMINATED ROADWAY/PARKING LOT,2020-08-04T00:00:00Z,1711 E Nob Hill Diesel Spill 08/04/20,212905,-120.47806991711451,46.585440051199036
5,0,708340,Yakima,Yakima,1700 E. Chestnut Ave,,,46.60371,-120.47913,Storm Drain,Oil Spill,Unknown,UNKNOWN,LUBE OIL/MOTOR OIL,10,10,0,Dumping,HUMAN ERROR,DELIBERATE VIOLATION,N,CONTAMINATED ROADWAY/PARKING LOT,2021-07-22T00:00:00Z,Chestnut Ave Storm Drain Oil-Dumping Spill,222394,-120.47912991658202,46.60371005140874
6,0,713189,Yakima,Yakima,,N. 1st Street,North First Street Hwy 12 on ramp,46.60223,-120.5061,Storm Drain,Vehicular Accident-Oil Spill,Vehicle,COMMERCIAL TRUCK,OTHER,6000,6000,0,UNDERWAY OR IN MOTION,HUMAN ERROR,FATIGUE/REDUCED ALERTNESS,N,WATER POLLUTION,2022-03-01T00:00:00Z,North Yakima Milk Truck,229934,-120.5060999169482,46.6022300508628
7,0,714556,Yakima,Moxee,7500 Postma Rd,,,46.5621,-120.40034,Ditch - Wet,Vehicular Accident-Oil Spill,Vehicle,COMMERCIAL TRUCK,DIESEL LOW SULPHUR (ULSD),100,100,0,UNDERWAY OR IN MOTION,HUMAN ERROR,INATTENTION/DISTRACTION,N,WATER POLLUTION,2022-05-02T00:00:00Z,Moxee truck wreck,231127,-120.40033991737437,46.5621000506908
8,0,714659,Yakima,Yakima,222 E Staff Sgt Pendleton Way,,,46.60453,-120.50459,Storm Drain,Oil Spill,Facility,POWER GENERATION UTILITY,MINERAL OIL/TRANSFORMER OIL,3,3,3,STATIC OR PERFORMING DESIGNED FUNCTION,EXTERNAL CONDITIONS,WIND,N,CONTAMINATED ROADWAY/PARKING LOT,2022-05-05T00:00:00Z,Yakima Transformer Spill - Wind Event,230702,-120.5045899178852,46.60453005212493
9,0,717318,Yakima,Yakima,16th Ave Nob Hill,,16th Ave Nob Hill,46.585251,-120.530364,Storm Drain,Oil Spill,Vehicle,NON-COMMERCIAL VEHICLE,USED OIL,2,2,2,DRIVING,HUMAN ERROR,JUDGMENT,N,WATER POLLUTION,2022-08-30T00:00:00Z,Nob Hill Wreck,234240,-120.53036391692933,46.585251051467715
10,0,735596,Yakima,Yakima,2002 S. 1st St,,,46.5735,-120.49005,Storm Drain,"Oil Spill,Other Non-Oil",NA,NA,LUBE OIL/MOTOR OIL,25,25,0,Burning,OTHER,Fire,Y,WATER POLLUTION,2024-12-10T07:49:00Z,Yakima Les Schwab Fire 121024,260869,-120.49004991719997,46.57350005199019
